New run! (theta, phi) = 
251	0.311769	HGCalEEAbsorberStainlessSteel17	StainlessSteel
252	0.0519615	HGCalEEAbsorberEpoxy17	Epoxy
253	5.16498	HGCalEEAbsorberLead28	Lead
254	0.0519615	HGCalEEAbsorberEpoxy18	Epoxy
255	0.311769	HGCalEEAbsorberStainlessSteel18	StainlessSteel
256	0.103923	HGCalEEAbsorberCopper18	Copper
257	0.233827	HGCalEEAirGap10Coarse2	Air
258	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
259	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
260	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
261	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
262	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
263	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
264	0.275396	HGCalEEKapton10Coarse2	Kapton
265	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
266	1.45492	HGCalEEBasePlate10Coarse2	WCu
267	6.28734	HGCalEECoolingPlate9	Copper
268	1.45492	HGCalEEBasePlate00Coarse2	WCu
269	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
270	0.275396	HGCalEEKapton00Coarse2	Kapton
271	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
272	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
273	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
274	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
275	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
276	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
277	0.233827	HGCalEEAirGap00Coarse2	Air
278	0.103923	HGCalEEAbsorberCopper19	Copper
279	0.311769	HGCalEEAbsorberStainlessSteel19	StainlessSteel
280	0.0519615	HGCalEEAbsorberEpoxy19	Epoxy
281	8.54247	HGCalEEAbsorberLead31	Lead
282	0.0519615	HGCalEEAbsorberEpoxy20	Epoxy
283	0.311769	HGCalEEAbsorberStainlessSteel20	StainlessSteel
284	0.103923	HGCalEEAbsorberCopper20	Copper
285	0.233827	HGCalEEAirGap10Coarse2	Air
286	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
287	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
