New run! (theta, phi) = 
26.5651	6.37937
1	3230.5	logic-World	Galactic
440	0.0754673	HGCalHEEpoxy10Fine	Epoxy
441	0.120748	HGCalHESiliconCellSensitiveFull0Fine	Silicon
442	0.181122	HGCalHECellFull0Fine	Silicon
443	0.0754673	HGCalHEEpoxy10Fine	Epoxy
444	0.100623	HGCalHEKapton10Fine	Kapton
445	0.0754673	HGCalHEEpoxy10Fine	Epoxy
446	1.00623	HGCalHEBasePlate10Fine	HGC_G10-FR4
447	6.38956	HGCalHECoolingPlate4	Copper
448	41.7586	HGCalHEAbsorber24	StainlessSteel
449	4.02492	HGCalHEAirGap15	Air
450	2.51558	HGCalHESteelCover5	StainlessSteel
451	0.402492	HGCalHEAirGap11Fine	Air
452	1.60997	HGCalHEPCB11Fine	HGC_G10-FR4
453	3.49665	HGCalHEConnector11Fine	HGC_HEConnector
454	1.60997	HGCalHEMotherBoard11Fine	HGC_G10-FR4
455	0.0754673	HGCalHEEpoxy11Fine	Epoxy
456	0.120748	HGCalHESiliconCellSensitiveFull0Fine	Silicon
457	0.181122	HGCalHECellFull0Fine	Silicon
458	0.0754673	HGCalHEEpoxy11Fine	Epoxy
459	0.100623	HGCalHEKapton11Fine	Kapton
460	0.0754673	HGCalHEEpoxy11Fine	Epoxy
461	1.00623	HGCalHEBasePlate11Fine	HGC_G10-FR4
462	6.38956	HGCalHECoolingPlate5	Copper
463	41.7586	HGCalHEAbsorber25	StainlessSteel
464	4.02492	HGCalHEAirGap16	Air
465	2.51558	HGCalHESteelCover6	StainlessSteel
466	0.402492	HGCalHEAirGap10Fine	Air
